Title,Genre(s),Director(s),Rating
The Godfather,"Drama, Crime",Francis Ford Coppola,87
The Shawshank Redemption,"Drama, Crime",Frank Darabont,87
Spider-Man: Across the Spider-Verse,"Action, Adventure, Animation, Science Fiction","Kemp Powers, Joaquim Dos Santos, Justin K. Thompson",87
The Godfather Part II,"Drama, Crime",Francis Ford Coppola,86
Schindler's List,"Drama, History, War",Steven Spielberg,86
Dilwale Dulhania Le Jayenge,"Comedy, Drama, Romance",Aditya Chopra,86
Spirited Away,"Animation, Family, Fantasy",Hayao Miyazaki,85
12 Angry Men,Drama,Sidney Lumet,85
Your Name.,"Romance, Animation, Drama",Makoto Shinkai,85
Parasite,"Comedy, Thriller, Drama",Bong Joon-ho,85
The Dark Knight,"Drama, Action, Crime, Thriller",Christopher Nolan,85
The Green Mile,"Fantasy, Drama, Crime",Frank Darabont,85
Pulp Fiction,"Thriller, Crime",Quentin Tarantino,85
Forrest Gump,"Comedy, Drama, Romance",Robert Zemeckis,85
"The Good, the Bad and the Ugly",Western,Sergio Leone,85
The Lord of the Rings: The Return of the King,"Adventure, Fantasy, Action",Peter Jackson,85
GoodFellas,"Drama, Crime",Martin Scorsese,85
Cinema Paradiso,"Drama, Romance",Giuseppe Tornatore,85
Seven Samurai,"Action, Drama",Akira Kurosawa,85
Dou kyu sei – Classmates,"Romance, Animation",Shouko Nakamura,85
Gabriel's Inferno,Romance,Tosca Musk,85
Life Is Beautiful,"Comedy, Drama",Roberto Benigni,85
Grave of the Fireflies,"Animation, Drama, War",Isao Takahata,84
Psycho,"Horror, Drama, Thriller",Alfred Hitchcock,84
"The Boy, the Mole, the Fox and the Horse","Animation, Family, Adventure, Fantasy","Charlie Mackesy, Peter Baynton",84
Bring the Soul: The Movie,"Music, Documentary",Park Jun-soo,84
Gabriel's Inferno: Part II,Romance,Tosca Musk,84
Once Upon a Time in America,"Drama, Crime",Sergio Leone,84
Fight Club,"Drama, Thriller, Comedy",David Fincher,84
Impossible Things,"Family, Drama",Ernesto Contreras,84
City of God,"Drama, Crime",Fernando Meirelles,84
One Flew Over the Cuckoo's Nest,Drama,Miloš Forman,84
Gabriel's Inferno: Part III,"Romance, Comedy",Tosca Musk,84
Harakiri,"Action, Drama, History",Masaki Kobayashi,84
The Quintessential Quintuplets Movie,"Animation, Comedy, Romance",Masato Jimbo,84
Interstellar,"Adventure, Drama, Science Fiction",Christopher Nolan,84
